,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom3,12/1/20,Paoli,PA,19301,UPS,11/30/20,21.5,6.0
1,Ecom3,12/4/20,Deerfield,IL,60015,UPS,12/3/20,26.0,7.0
2,Ecom3,12/2/20,Lambertville,MI,48144,UPS,12/1/20,21.5,6.0
3,Ecom3,12/1/20,San Jose,CA,95125,UPS,11/28/20,41.0,12.0
4,Ecom3,12/1/20,Belton,SC,29627,UPS,11/29/20,21.5,6.0
5,Ecom3,12/2/20,Narragansett,RI,2882,UPS,12/2/20,20.5,3.0
6,Ecom3,12/2/20,Narragansett,RI,2882,UPS,12/2/20,9.9,3.0
7,Ecom3,12/1/20,Holmdel,NJ,7733,UPS,11/30/20,21.5,6.0
8,Ecom3,12/2/20,Bloomington,IN,47403,UPS,12/1/20,21.5,6.0
9,Ecom3,12/3/20,manalapan,NJ,7726,UPS,12/2/20,14.0,4.0
10,Ecom3,12/4/20,Paoli,PA,19301,UPS,12/3/20,9.9,3.0
11,Ecom3,12/2/20,NEW YORK,NY,10010,FEH,12/1/20,18.5,5.0
12,Ecom3,12/2/20,Los Altos,CA,94024,UPS,12/1/20,21.5,6.0
13,Ecom3,12/1/20,Rancho Viejo,TX,78575,UPS,11/29/20,9.9,3.0
14,Ecom3,12/2/20,Sacramento,CA,95821,UPS,12/2/20,27.0,4.0
15,Ecom3,12/2/20,Schofield,WI,54476,UPS,12/2/20,9.9,3.0
16,Ecom3,12/1/20,Milpitas,CA,95035,UPS,11/28/20,18.5,5.0
17,Ecom3,12/4/20,Durham,NC,27710,UPS,12/3/20,21.5,6.0
18,Ecom3,12/1/20,Houston,TX,77006,UPS,11/28/20,41.0,12.0
19,Ecom3,12/1/20,Midland,MI,48640,UPS,11/30/20,41.0,12.0
20,Ecom3,12/2/20,Costa Mesa,CA,92626,UPS,12/2/20,27.0,4.0
21,Ecom3,12/3/20,Costa Mesa,CA,92626,UPS,12/2/20,13.5,2.0
22,Ecom3,12/1/20,Coral Gables,FL,33134,UPS,11/30/20,21.5,6.0
23,Ecom3,12/3/20,Orono,MN,55391,UPS,12/2/20,27.0,4.0
24,Ecom3,12/2/20,Orono,MN,55391,UPS,12/2/20,13.5,2.0
25,Ecom3,12/3/20,Tyler,TX,75703,UPS,12/3/20,21.5,6.0
26,Ecom3,12/3/20,Waianae,HI,96792,UPS,12/2/20,21.5,6.0
27,Ecom3,12/3/20,Clayton,CA,94517,UPS,12/3/20,21.5,6.0
28,Ecom3,12/1/20,McLean,VA,22102,UPS,12/1/20,21.5,6.0
29,Ecom3,12/1/20,Walnut,CA,91789,UPS,12/1/20,9.9,3.0
30,Ecom3,12/4/20,Bethesda,MD,20817,FEH,12/4/20,21.5,6.0
31,Ecom3,12/3/20,Miami Beach,FL,33141,UPS,12/2/20,27.0,4.0
32,Ecom3,12/2/20,Miami Beach,FL,33141,UPS,12/2/20,13.5,2.0
33,Ecom3,12/4/20,Richfield,OH,44286,UPS,12/3/20,9.9,3.0
34,Ecom3,12/1/20,Honolulu,HI,96821,UPS,11/20/20,21.5,6.0
35,Ecom3,12/1/20,Hinsdale,IL,60521,UPS,12/1/20,41.0,12.0
36,Ecom3,12/1/20,Bloomington,IN,47401,UPS,11/30/20,39.0,12.0
37,Ecom3,12/4/20,Collegeville,PA,19426,UPS,12/3/20,21.5,6.0
38,Ecom3,12/2/20,Vienna,VA,22181,UPS,12/2/20,14.0,4.0
39,Ecom3,12/2/20,Vienna,VA,22181,UPS,12/2/20,13.5,2.0
40,Ecom3,12/3/20,Irmo,SC,29063,UPS,12/2/20,41.0,12.0
41,Ecom3,12/4/20,Anchorage,AK,99501,UPS,12/3/20,21.5,6.0
